product_id,product_name,category,region,sales,month,stock,price,cost
P001,Wireless Earbuds Pro,Electronics,North,482,Mar 2025,4,120,72
P002,Winter Jacket XL,Fashion,South,213,Mar 2025,22,85,51
P003,Organic Olive Oil 1L,Groceries,East,889,Mar 2025,8,15,9
P004,Running Shoes M10,Sports,West,344,Mar 2025,156,90,54
P005,Vitamin C Serum,Beauty,North,671,Mar 2025,6,35,21
P006,Coffee Maker Deluxe,Appliances,East,128,Mar 2025,31,150,90
P007,Garden Hose 50ft,Home & Garden,West,240,Mar 2025,94,45,27
P008,Smart Watch Series 5,Electronics,North,320,Mar 2025,18,200,120
P001,Wireless Earbuds Pro,Electronics,North,410,Feb 2025,20,120,72
P002,Winter Jacket XL,Fashion,South,180,Feb 2025,40,85,51
P003,Organic Olive Oil 1L,Groceries,East,760,Feb 2025,30,15,9
P004,Running Shoes M10,Sports,West,290,Feb 2025,180,90,54
P005,Vitamin C Serum,Beauty,North,590,Feb 2025,25,35,21
P006,Coffee Maker Deluxe,Appliances,East,95,Feb 2025,50,150,90
P007,Garden Hose 50ft,Home & Garden,West,180,Feb 2025,110,45,27
P008,Smart Watch Series 5,Electronics,North,270,Feb 2025,35,200,120
P001,Wireless Earbuds Pro,Electronics,South,390,Jan 2025,15,120,72
P002,Winter Jacket XL,Fashion,North,310,Jan 2025,55,85,51
P003,Organic Olive Oil 1L,Groceries,West,820,Jan 2025,12,15,9
P004,Running Shoes M10,Sports,East,410,Jan 2025,200,90,54
P005,Vitamin C Serum,Beauty,South,540,Jan 2025,18,35,21
P006,Coffee Maker Deluxe,Appliances,North,110,Jan 2025,45,150,90
P007,Garden Hose 50ft,Home & Garden,East,160,Jan 2025,95,45,27
P008,Smart Watch Series 5,Electronics,South,240,Jan 2025,28,200,120